Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
239,8122024,2024,Cont,05,Cont,02,W,81,2024_Cont05_Cont02_W81,419.9,994.6,,
542,8122024,2024,Warm,03,Both,03,G,80,2024_Warm03_Both03_G80,202.7,466.9,,
215,8122024,2024,Cont,03,Cont,02,W,78,2024_Cont03_Cont02_W78,579.1,1291.1,,
587,8122024,2024,Hyp,06,Cont,04,B,77,2024_Hyp06_Cont04_B77,594.7,1417,,
967,8122024,2024,Warm,06,Cont,06,G,72,2024_Warm06_Cont06_G72,314.6,692.5,,
970,8122024,2024,Both,06,Cont,06,O,72,2024_Both06_Cont06_O72,593.3,1365.3,,
981,8122024,2024,Cont,06,Cont,06,W,72,2024_Cont06_Cont06_W72,134.4,336.9,,
996,8122024,2024,Hyp,06,Cont,06,B,72,2024_Hyp06_Cont06_B72,345.7,838.9,,
1009,8122024,2024,Cont,06,Warm,06,W,72,2024_Cont06_Warm06_W72,747,1713.6,,
1019,8122024,2024,Both,06,Warm,06,O,72,2024_Both06_Warm06_O72,582,1311.9,,
1022,8122024,2024,Warm,06,Warm,06,G,72,2024_Warm06_Warm06_G72,675.2,1555,,
1026,8122024,2024,Hyp,06,Warm,06,B,72,2024_Hyp06_Warm06_B72,439.1,1078.1,,
1058,8122024,2024,Both,06,Hyp,06,O,72,2024_Both06_Hyp06_O72,185.8,413.1,,
1071,8122024,2024,Warm,06,Hyp,06,G,72,2024_Warm06_Hyp06_G72,245.9,577.1,,
1094,8122024,2024,Cont,06,Hyp,06,W,72,2024_Cont06_Hyp06_W72,325.5,743.4,,
1096,8122024,2024,Hyp,06,Hyp,06,B,72,2024_Hyp06_Hyp06_B72,259.8,669.9,,
1109,8122024,2024,Hyp,06,Both,06,B,72,2024_Hyp06_Both06_B72,308.2,781.9,,
1126,8122024,2024,Cont,06,Both,06,W,72,2024_Cont06_Both06_W72,269,644.4,,
1130,8122024,2024,Both,06,Both,06,O,72,2024_Both06_Both06_O72,727.2,1953.6,,
1131,8122024,2024,Warm,06,Both,06,G,72,2024_Warm06_Both06_G72,522,1270.4,,
962,8122024,2024,Both,06,Cont,06,O,71,2024_Both06_Cont06_O71,197.3,438.4,,
977,8122024,2024,Warm,06,Cont,06,G,71,2024_Warm06_Cont06_G71,319.1,715.8,,
991,8122024,2024,Cont,06,Cont,06,W,71,2024_Cont06_Cont06_W71,274,662.9,,
1003,8122024,2024,Hyp,06,Cont,06,B,71,2024_Hyp06_Cont06_B71,190.6,515.8,,
1014,8122024,2024,Hyp,06,Warm,06,B,71,2024_Hyp06_Warm06_B71,464.9,983.1,,
1031,8122024,2024,Cont,06,Warm,06,W,71,2024_Cont06_Warm06_W71,349.6,812.4,,
1041,8122024,2024,Both,06,Warm,06,O,71,2024_Both06_Warm06_O71,280.6,632.7,,
1042,8122024,2024,Warm,06,Warm,06,G,71,2024_Warm06_Warm06_G71,347.4,740.1,,
1063,8122024,2024,Warm,06,Hyp,06,G,71,2024_Warm06_Hyp06_G71,408.3,921.7,,
1077,8122024,2024,Both,06,Hyp,06,O,71,2024_Both06_Hyp06_O71,329.5,804,,
1102,8122024,2024,Hyp,06,Hyp,06,B,71,2024_Hyp06_Hyp06_B71,94.4,248.5,,
1110,8122024,2024,Cont,06,Both,06,W,71,2024_Cont06_Both06_W71,403.1,944,,
1121,8122024,2024,Hyp,06,Both,06,B,71,2024_Hyp06_Both06_B71,269.5,681.5,,
1136,8122024,2024,Warm,06,Both,06,G,71,2024_Warm06_Both06_G71,361.7,890,,
1147,8122024,2024,Both,06,Both,06,O,71,2024_Both06_Both06_O71,184,462.6,,
969,8122024,2024,Cont,05,Cont,06,W,70,2024_Cont05_Cont06_W70,396.6,933.3,,
988,8122024,2024,Both,05,Cont,06,O,70,2024_Both05_Cont06_O70,209.6,568.8,,
992,8122024,2024,Hyp,05,Cont,06,B,70,2024_Hyp05_Cont06_B70,310,771.3,,
1007,8122024,2024,Warm,05,Cont,06,G,70,2024_Warm05_Cont06_G70,248.1,547.7,,
1023,8122024,2024,Both,05,Warm,06,O,70,2024_Both05_Warm06_O70,437.9,1067.6,,
1036,8122024,2024,Warm,05,Warm,06,G,70,2024_Warm05_Warm06_G70,115.9,310.7,,
1039,8122024,2024,Cont,05,Warm,06,W,70,2024_Cont05_Warm06_W70,353.1,883.5,,
1050,8122024,2024,Hyp,05,Warm,06,B,70,2024_Hyp05_Warm06_B70,418.3,959.2,,
1069,8122024,2024,Hyp,05,Hyp,06,B,70,2024_Hyp05_Hyp06_B70,330.6,830.3,,
1089,8122024,2024,Cont,05,Hyp,06,W,70,2024_Cont05_Hyp06_W70,352.5,887.2,,
1090,8122024,2024,Warm,05,Hyp,06,G,70,2024_Warm05_Hyp06_G70,337.3,899.7,,
1103,8122024,2024,Both,05,Hyp,06,O,70,2024_Both05_Hyp06_O70,101.1,255.5,,
1113,8122024,2024,Both,05,Both,06,O,70,2024_Both05_Both06_O70,86.5,220.5,,
1128,8122024,2024,Hyp,05,Both,06,B,70,2024_Hyp05_Both06_B70,234.2,558,,
1140,8122024,2024,Cont,05,Both,06,W,70,2024_Cont05_Both06_W70,451.4,1155.5,,
1141,8122024,2024,Warm,05,Both,06,G,70,2024_Warm05_Both06_G70,383.9,994.2,,
968,8122024,2024,Cont,05,Cont,06,W,69,2024_Cont05_Cont06_W69,372,853.1,,
986,8122024,2024,Both,05,Cont,06,O,69,2024_Both05_Cont06_O69,494,1240.3,,
1000,8122024,2024,Warm,05,Cont,06,G,69,2024_Warm05_Cont06_G69,NA,NA,Dead,
1005,8122024,2024,Hyp,05,Cont,06,B,69,2024_Hyp05_Cont06_B69,165.6,423,,
1010,8122024,2024,Both,05,Warm,06,O,69,2024_Both05_Warm06_O69,584,1610.1,,
1027,8122024,2024,Warm,05,Warm,06,G,69,2024_Warm05_Warm06_G69,316.5,742.9,,
1032,8122024,2024,Hyp,05,Warm,06,B,69,2024_Hyp05_Warm06_B69,636.9,1427.9,,
1045,8122024,2024,Cont,05,Warm,06,W,69,2024_Cont05_Warm06_W69,698.1,1568.3,,
1057,8122024,2024,Hyp,05,Hyp,06,B,69,2024_Hyp05_Hyp06_B69,354.3,827.8,,
1087,8122024,2024,Cont,05,Hyp,06,W,69,2024_Cont05_Hyp06_W69,800,1910.7,,
1101,8122024,2024,Both,05,Hyp,06,O,69,2024_Both05_Hyp06_O69,152.5,391.7,,
1104,8122024,2024,Warm,05,Hyp,06,G,69,2024_Warm05_Hyp06_G69,78.7,213.2,,
1105,8122024,2024,Both,05,Both,06,O,69,2024_Both05_Both06_O69,433.4,1057.5,,
1127,8122024,2024,Cont,05,Both,06,W,69,2024_Cont05_Both06_W69,178.9,483.3,,
1143,8122024,2024,Hyp,05,Both,06,B,69,2024_Hyp05_Both06_B69,169.7,423.6,,
1150,8122024,2024,Warm,05,Both,06,G,69,2024_Warm05_Both06_G69,320.7,712.5,,
978,8122024,2024,Cont,04,Cont,06,W,68,2024_Cont04_Cont06_W68,216.3,495.5,,
979,8122024,2024,Hyp,04,Cont,06,B,68,2024_Hyp04_Cont06_B68,392.6,889.3,,
987,8122024,2024,Both,04,Cont,06,O,68,2024_Both04_Cont06_O68,233.1,591.7,,
995,8122024,2024,Warm,04,Cont,06,G,68,2024_Warm04_Cont06_G68,252.9,575.6,,
1025,8122024,2024,Both,04,Warm,06,O,68,2024_Both04_Warm06_O68,599.8,1365.3,,
1047,8122024,2024,Warm,04,Warm,06,G,68,2024_Warm04_Warm06_G68,370.8,854.7,,
1049,8122024,2024,Cont,04,Warm,06,W,68,2024_Cont04_Warm06_W68,626.8,1442.2,,
1054,8122024,2024,Hyp,04,Warm,06,B,68,2024_Hyp04_Warm06_B68,424.7,924.8,,
1078,8122024,2024,Hyp,04,Hyp,06,B,68,2024_Hyp04_Hyp06_B68,360.2,807.8,,
1084,8122024,2024,Warm,04,Hyp,06,G,68,2024_Warm04_Hyp06_G68,461.3,1215.4,,
1088,8122024,2024,Both,04,Hyp,06,O,68,2024_Both04_Hyp06_O68,746.1,1818.4,,
1099,8122024,2024,Cont,04,Hyp,06,W,68,2024_Cont04_Hyp06_W68,213.5,496,,
1123,8122024,2024,Both,04,Both,06,O,68,2024_Both04_Both06_O68,122.8,385.6,,
1129,8122024,2024,Hyp,04,Both,06,B,68,2024_Hyp04_Both06_B68,635.1,1620.3,,
1135,8122024,2024,Cont,04,Both,06,W,68,2024_Cont04_Both06_W68,536.8,1216.9,,
1142,8122024,2024,Warm,04,Both,06,G,68,2024_Warm04_Both06_G68,158.9,430,,
963,8122024,2024,Cont,04,Cont,06,W,67,2024_Cont04_Cont06_W67,254.8,621.8,,
980,8122024,2024,Warm,04,Cont,06,G,67,2024_Warm04_Cont06_G67,185.5,707.3,,
982,8122024,2024,Both,04,Cont,06,O,67,2024_Both04_Cont06_O67,349.9,764.4,,
994,8122024,2024,Hyp,04,Cont,06,B,67,2024_Hyp04_Cont06_B67,358.2,833.6,,
1015,8122024,2024,Both,04,Warm,06,O,67,2024_Both04_Warm06_O67,598.1,1296.6,,
1017,8122024,2024,Cont,04,Warm,06,W,67,2024_Cont04_Warm06_W67,454.6,1043.4,,
1035,8122024,2024,Warm,04,Warm,06,G,67,2024_Warm04_Warm06_G67,636.8,1596.3,,
1053,8122024,2024,Hyp,04,Warm,06,B,67,2024_Hyp04_Warm06_B67,320.8,680.2,,
1064,8122024,2024,Hyp,04,Hyp,06,B,67,2024_Hyp04_Hyp06_B67,NA,NA,Dead,
1073,8122024,2024,Both,04,Hyp,06,O,67,2024_Both04_Hyp06_O67,190.4,483.4,,
1076,8122024,2024,Cont,04,Hyp,06,W,67,2024_Cont04_Hyp06_W67,554.5,1210,,
1093,8122024,2024,Warm,04,Hyp,06,G,67,2024_Warm04_Hyp06_G67,264.6,621,,
1112,8122024,2024,Both,04,Both,06,O,67,2024_Both04_Both06_O67,185.4,475.6,,
1117,8122024,2024,Warm,04,Both,06,G,67,2024_Warm04_Both06_G67,165,428.6,,
1133,8122024,2024,Hyp,04,Both,06,B,67,2024_Hyp04_Both06_B67,424.3,1030.9,,
1151,8122024,2024,Cont,04,Both,06,W,67,2024_Cont04_Both06_W67,135.3,338.7,,
966,8122024,2024,Both,03,Cont,06,O,66,2024_Both03_Cont06_O66,278.5,662.5,,
983,8122024,2024,Hyp,03,Cont,06,B,66,2024_Hyp03_Cont06_B66,92.4,219.9,,
989,8122024,2024,Warm,03,Cont,06,G,66,2024_Warm03_Cont06_G66,486.8,1171.4,,
997,8122024,2024,Cont,03,Cont,06,W,66,2024_Cont03_Cont06_W66,213,492.5,,
1013,8122024,2024,Hyp,03,Warm,06,B,66,2024_Hyp03_Warm06_B66,583.9,1401.3,,
1028,8122024,2024,Both,03,Warm,06,O,66,2024_Both03_Warm06_O66,398.3,921.3,,
1044,8122024,2024,Warm,03,Warm,06,G,66,2024_Warm03_Warm06_G66,666,1747.8,,
1051,8122024,2024,Cont,03,Warm,06,W,66,2024_Cont03_Warm06_W66,402.4,944.9,,
1060,8122024,2024,Warm,03,Hyp,06,G,66,2024_Warm03_Hyp06_G66,184.4,483.3,,
1065,8122024,2024,Hyp,03,Hyp,06,B,66,2024_Hyp03_Hyp06_B66,458.5,1056.1,,
1075,8122024,2024,Both,03,Hyp,06,O,66,2024_Both03_Hyp06_O66,214.2,556.5,,
1100,8122024,2024,Cont,03,Hyp,06,W,66,2024_Cont03_Hyp06_W66,231.1,521.8,,
1108,8122024,2024,Cont,03,Both,06,W,66,2024_Cont03_Both06_W66,515.4,1345.8,,
1137,8122024,2024,Both,03,Both,06,O,66,2024_Both03_Both06_O66,413.7,998.4,,
1139,8122024,2024,Warm,03,Both,06,G,66,2024_Warm03_Both06_G66,250.7,633.7,,
1146,8122024,2024,Hyp,03,Both,06,B,66,2024_Hyp03_Both06_B66,278.3,679.1,,
973,8122024,2024,Both,03,Cont,06,O,65,2024_Both03_Cont06_O65,344.4,856.2,,
990,8122024,2024,Hyp,03,Cont,06,B,65,2024_Hyp03_Cont06_B65,527.7,1223.7,,
993,8122024,2024,Cont,03,Cont,06,W,65,2024_Cont03_Cont06_W65,360,989.6,,
999,8122024,2024,Warm,03,Cont,06,G,65,2024_Warm03_Cont06_G65,507.5,1253.8,,
1024,8122024,2024,Hyp,03,Warm,06,B,65,2024_Hyp03_Warm06_B65,718.2,1491.2,,
1046,8122024,2024,Both,03,Warm,06,O,65,2024_Both03_Warm06_O65,632.7,1635.4,,
1048,8122024,2024,Warm,03,Warm,06,G,65,2024_Warm03_Warm06_G65,606.7,1560.4,,
1055,8122024,2024,Cont,03,Warm,06,W,65,2024_Cont03_Warm06_W65,278.4,628.3,,
1070,8122024,2024,Hyp,03,Hyp,06,B,65,2024_Hyp03_Hyp06_B65,521.3,1256.5,,
1072,8122024,2024,Warm,03,Hyp,06,G,65,2024_Warm03_Hyp06_G65,242.4,618.3,,
1081,8122024,2024,Cont,03,Hyp,06,W,65,2024_Cont03_Hyp06_W65,165.8,381.9,,
1091,8122024,2024,Both,03,Hyp,06,O,65,2024_Both03_Hyp06_O65,420.8,940.9,,
1115,8122024,2024,Both,03,Both,06,O,65,2024_Both03_Both06_O65,194.6,550.2,,
1122,8122024,2024,Cont,03,Both,06,W,65,2024_Cont03_Both06_W65,121.1,290.4,,
1124,8122024,2024,Warm,03,Both,06,G,65,2024_Warm03_Both06_G65,306.3,744.2,,
1134,8122024,2024,Hyp,03,Both,06,B,65,2024_Hyp03_Both06_B65,870,2566.7,,
964,8122024,2024,Hyp,02,Cont,06,B,64,2024_Hyp02_Cont06_B64,151.2,340.4,,
985,8122024,2024,Warm,02,Cont,06,G,64,2024_Warm02_Cont06_G64,960.1,2258.2,,"09.23.24 SKM changed data point in working post phase 2.1 from O64 to G64, was written down wrong on the data sheet but verified that this is actually G64 from the photos. Also changed Phase 1 info and 'Sample_Name"""
1001,8122024,2024,Cont,02,Cont,06,W,64,2024_Cont02_Cont06_W64,197.3,452.1,,
1008,8122024,2024,Both,02,Cont,06,O,64,2024_Both02_Cont06_O64,133.7,326.9,,
1011,8122024,2024,Warm,02,Warm,06,G,64,2024_Warm02_Warm06_G64,205.1,503.4,,
1043,8122024,2024,Both,02,Warm,06,O,64,2024_Both02_Warm06_O64,353.1,893.8,,
1052,8122024,2024,Hyp,02,Warm,06,B,64,2024_Hyp02_Warm06_B64,502.1,1310.7,,
1056,8122024,2024,Cont,02,Warm,06,W,64,2024_Cont02_Warm06_W64,278.1,621,,
1059,8122024,2024,Cont,02,Hyp,06,W,64,2024_Cont02_Hyp06_W64,550,1312,,
1074,8122024,2024,Warm,02,Hyp,06,G,64,2024_Warm02_Hyp06_G64,312.1,710.8,,
1085,8122024,2024,Hyp,02,Hyp,06,B,64,2024_Hyp02_Hyp06_B64,513.3,1420,,
1092,8122024,2024,Both,02,Hyp,06,O,64,2024_Both02_Hyp06_O64,159.5,411.3,,
1107,8122024,2024,Warm,02,Both,06,G,64,2024_Warm02_Both06_G64,191.6,453.5,,
1118,8122024,2024,Hyp,02,Both,06,B,64,2024_Hyp02_Both06_B64,303.5,701,,
1144,8122024,2024,Cont,02,Both,06,W,64,2024_Cont02_Both06_W64,245.7,570.1,,
1149,8122024,2024,Both,02,Both,06,O,64,2024_Both02_Both06_O64,66.2,222,,
971,8122024,2024,Both,02,Cont,06,O,63,2024_Both02_Cont06_O63,194.6,468.6,,
974,8122024,2024,Hyp,02,Cont,06,B,63,2024_Hyp02_Cont06_B63,417.8,982.6,,
975,8122024,2024,Cont,02,Cont,06,W,63,2024_Cont02_Cont06_W63,575.4,1365.2,,
976,8122024,2024,Warm,02,Cont,06,G,63,2024_Warm02_Cont06_G63,662.1,1618.4,,
1021,8122024,2024,Warm,02,Warm,06,G,63,2024_Warm02_Warm06_G63,561.4,1349.1,,
1029,8122024,2024,Cont,02,Warm,06,W,63,2024_Cont02_Warm06_W63,452.2,976.3,,
1034,8122024,2024,Both,02,Warm,06,O,63,2024_Both02_Warm06_O63,492.6,1233.8,,
1038,8122024,2024,Hyp,02,Warm,06,B,63,2024_Hyp02_Warm06_B63,604.7,1654.5,,
1067,8122024,2024,Cont,02,Hyp,06,W,63,2024_Cont02_Hyp06_W63,477.3,1152.1,,
1079,8122024,2024,Hyp,02,Hyp,06,B,63,2024_Hyp02_Hyp06_B63,245.4,564.9,,
1082,8122024,2024,Both,02,Hyp,06,O,63,2024_Both02_Hyp06_O63,423.6,1002.8,,
1098,8122024,2024,Warm,02,Hyp,06,G,63,2024_Warm02_Hyp06_G63,302.1,675.7,,
1120,8122024,2024,Warm,02,Both,06,G,63,2024_Warm02_Both06_G63,214,505.1,,
1132,8122024,2024,Cont,02,Both,06,W,63,2024_Cont02_Both06_W63,263.5,634.1,,
1138,8122024,2024,Both,02,Both,06,O,63,2024_Both02_Both06_O63,200.8,489.6,,
1152,8122024,2024,Hyp,02,Both,06,B,63,2024_Hyp02_Both06_B63,164,378.9,,
961,8122024,2024,Hyp,01,Cont,06,B,62,2024_Hyp01_Cont06_B62,637.6,1568.7,,
984,8122024,2024,Warm,01,Cont,06,G,62,2024_Warm01_Cont06_G62,242.4,572.9,,
1002,8122024,2024,Cont,01,Cont,06,W,62,2024_Cont01_Cont06_W62,328.6,776.7,,
1004,8122024,2024,Both,01,Cont,06,O,62,2024_Both01_Cont06_O62,353.6,875.4,,
1012,8122024,2024,Warm,01,Warm,06,G,62,2024_Warm01_Warm06_G62,493.6,1292.3,,
1018,8122024,2024,Cont,01,Warm,06,W,62,2024_Cont01_Warm06_W62,654.6,1653.7,,
1037,8122024,2024,Hyp,01,Warm,06,B,62,2024_Hyp01_Warm06_B62,1044.5,2712.4,,
1040,8122024,2024,Both,01,Warm,06,O,62,2024_Both01_Warm06_O62,480.6,1178.3,,
1061,8122024,2024,Cont,01,Hyp,06,W,62,2024_Cont01_Hyp06_W62,193.3,471.1,,
1066,8122024,2024,Warm,01,Hyp,06,G,62,2024_Warm01_Hyp06_G62,503.2,1286.1,,
1080,8122024,2024,Both,01,Hyp,06,O,62,2024_Both01_Hyp06_O62,322,783.1,,
1083,8122024,2024,Hyp,01,Hyp,06,B,62,2024_Hyp01_Hyp06_B62,447.8,1033.7,,
1106,8122024,2024,Warm,01,Both,06,G,62,2024_Warm01_Both06_G62,319.5,899.8,,
1114,8122024,2024,Hyp,01,Both,06,B,62,2024_Hyp01_Both06_B62,383.1,1030.1,,
1116,8122024,2024,Cont,01,Both,06,W,62,2024_Cont01_Both06_W62,646.4,1319.7,,
1119,8122024,2024,Both,01,Both,06,O,62,2024_Both01_Both06_O62,638.5,1348.2,,
965,8122024,2024,Warm,01,Cont,06,G,61,2024_Warm01_Cont06_G61,351.5,823.1,,
972,8122024,2024,Hyp,01,Cont,06,B,61,2024_Hyp01_Cont06_B61,194.9,508,,
998,8122024,2024,Both,01,Cont,06,O,61,2024_Both01_Cont06_O61,292.9,715.1,,
1006,8122024,2024,Cont,01,Cont,06,W,61,2024_Cont01_Cont06_W61,210.2,519.8,,
1016,8122024,2024,Cont,01,Warm,06,W,61,2024_Cont01_Warm06_W61,832.5,2494.6,,
1020,8122024,2024,Warm,01,Warm,06,G,61,2024_Warm01_Warm06_G61,325,918.7,,
1030,8122024,2024,Hyp,01,Warm,06,B,61,2024_Hyp01_Warm06_B61,214.2,496.2,,
1033,8122024,2024,Both,01,Warm,06,O,61,2024_Both01_Warm06_O61,646.6,1476,,
1062,8122024,2024,Both,01,Hyp,06,O,61,2024_Both01_Hyp06_O61,356.7,781.5,,
1068,8122024,2024,Cont,01,Hyp,06,W,61,2024_Cont01_Hyp06_W61,426.9,984.5,,
1086,8122024,2024,Cont,06,Hyp,06,W,71,2024_Cont06_Hyp06_W71,613.8,1592.2,,"09.23.24 SKM changed data point in working post phase 2.1 from W61 to W71, was written down wrong on the data sheet but verified that this is actually W71 from the photos. Also changed Phase 1 info and 'Sample_Name"""
1095,8122024,2024,Warm,01,Hyp,06,G,61,2024_Warm01_Hyp06_G61,375.5,802,,
1097,8122024,2024,Hyp,01,Hyp,06,B,61,2024_Hyp01_Hyp06_B61,217.2,550.7,,
1111,8122024,2024,Hyp,01,Both,06,B,61,2024_Hyp01_Both06_B61,103.6,261.7,,
1125,8122024,2024,Warm,01,Both,06,G,61,2024_Warm01_Both06_G61,776.5,1551.2,,
1145,8122024,2024,Cont,01,Both,06,W,61,2024_Cont01_Both06_W61,320.9,731.7,,
1148,8122024,2024,Both,01,Both,06,O,61,2024_Both01_Both06_O61,185.4,487.5,,
777,8122024,2024,Cont,06,Cont,05,W,60,2024_Cont06_Cont05_W60,328.7,873.9,,
779,8122024,2024,Hyp,06,Cont,05,B,60,2024_Hyp06_Cont05_B60,272.3,718.9,,
804,8122024,2024,Both,06,Cont,05,O,60,2024_Both06_Cont05_O60,151.6,337.8,,
813,8122024,2024,Warm,06,Cont,05,G,60,2024_Warm06_Cont05_G60,301.9,694.9,,
832,8122024,2024,Both,06,Warm,05,O,60,2024_Both06_Warm05_O60,154,366.9,,
856,8122024,2024,Hyp,06,Warm,05,B,60,2024_Hyp06_Warm05_B60,194.4,480.4,,
859,8122024,2024,Warm,06,Warm,05,G,60,2024_Warm06_Warm05_G60,521.3,1289.7,,
862,8122024,2024,Cont,06,Warm,05,W,60,2024_Cont06_Warm05_W60,702.7,1702.9,,
873,8122024,2024,Cont,06,Hyp,05,W,60,2024_Cont06_Hyp05_W60,460.2,1014.1,,
879,8122024,2024,Hyp,06,Hyp,05,B,60,2024_Hyp06_Hyp05_B60,287.1,661.1,,
882,8122024,2024,Both,06,Hyp,05,O,60,2024_Both06_Hyp05_O60,274.3,700.2,,
896,8122024,2024,Warm,06,Hyp,05,G,60,2024_Warm06_Hyp05_G60,601.2,1373.2,,
932,8122024,2024,Both,06,Both,05,O,60,2024_Both06_Both05_O60,292.8,782.8,,
933,8122024,2024,Warm,06,Both,05,G,60,2024_Warm06_Both05_G60,318,834.4,,
947,8122024,2024,Cont,06,Both,05,W,60,2024_Cont06_Both05_W60,621.9,1801.7,,
951,8122024,2024,Hyp,06,Both,05,B,60,2024_Hyp06_Both05_B60,198.3,500.3,,
775,8122024,2024,Cont,06,Cont,05,W,59,2024_Cont06_Cont05_W59,441.9,945.8,,
795,8122024,2024,Both,06,Cont,05,O,59,2024_Both06_Cont05_O59,275,661.5,,
800,8122024,2024,Warm,06,Cont,05,G,59,2024_Warm06_Cont05_G59,368.7,851.6,,
816,8122024,2024,Hyp,06,Cont,05,B,59,2024_Hyp06_Cont05_B59,275.2,673.1,,
820,8122024,2024,Both,06,Warm,05,O,59,2024_Both06_Warm05_O59,457,1121.6,,
828,8122024,2024,Hyp,06,Warm,05,B,59,2024_Hyp06_Warm05_B59,595.9,1476.3,,
846,8122024,2024,Cont,06,Warm,05,W,59,2024_Cont06_Warm05_W59,544.6,1417.9,,
851,8122024,2024,Warm,06,Warm,05,G,59,2024_Warm06_Warm05_G59,608,1383,,
865,8122024,2024,Hyp,06,Hyp,05,B,59,2024_Hyp06_Hyp05_B59,157.7,344.4,,
897,8122024,2024,Both,06,Hyp,05,O,59,2024_Both06_Hyp05_O59,226.5,551.1,,
908,8122024,2024,Warm,06,Hyp,05,G,59,2024_Warm06_Hyp05_G59,343.9,897.8,,
